S.no,Description,Question,Answer
1706,"Shikhar Dhawan of DC plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC plays a shot,Shikhar Dhawan
1707,"Prithvi Shaw of DC plays shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC plays shot,Prithvi Shaw
1708,"Jaydev Unadkat of RR bowling during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",Identify the bowler,Jaydev Unadkat
1709,"Shikhar Dhawan of Delhi bats during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Delhi bats,Shikhar Dhawan
1710,"Shikhar Dhawan of Delhi bats during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Delhi bats,Shikhar Dhawan
1711,"Stuart Binny of RR plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR plays a shot,Stuart Binny
1712,"Stuart Binny of RR plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR plays a shot,Stuart Binny
1713,"Stuart Binny of RR gets out during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR gets out,Stuart Binny
1714,"Shreyas Iyer captin of DC and Ajinkya Rahane of RR during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ captin of DC and Ajinkya Rahane of RR,Shreyas Iyer
1715,"Ajinkya Rahane of RR bats during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of RR bats,Ajinkya Rahane
1716,"Stuart Binny of RR bats during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of RR bats,Stuart Binny
1717,"Ajinkya Rahane of RR after his century during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR after his century,Ajinkya Rahane
1718,"Ajinkya Rahane of RR after his century during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR after his century,Ajinkya Rahane
1719,"Shreyas Iyer captain of DC takes a catch of Ben Stokes of RR during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ captain of DC takes a catch of Ben Stokes of RR,Shreyas Iyer
1720,"Shreyas Iyer captain of DC takes a catch of Ben Stokes of RR during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ captain of DC takes a catch of Ben Stokes of RR,Shreyas Iyer
1721,"Ajinkya Rahane of RR celebrates his Hundred runs during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",Identify the player celebrating his ton.,Ajinkya Rahane
1722,"Ajinkya Rahane of RR celebrates his Hundred runs during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",Identify the player celebrating his ton.,Ajinkya Rahane
1723,"Axar Patel of DC celebrates after dismissing Steve Smith during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC celebrates after dismissing Steve Smith,Axar Patel
1724,"Steve Smith plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ plays a shot,Steve Smith
1725,"Chris Morris of DC takes a catch of Steve Smith during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC takes a catch of Steve Smith,Chris Morris
1726,"Steve Smith reacts after his dismissal during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ reacts after his dismissal,Steve Smith
1727,"Ajinkya Rahane of RR plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR plays a shot,Ajinkya Rahane
1728,"Ajinkya Rahane of RR and Steve Smith during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR and Steve Smith,Ajinkya Rahane
1729,"Ajinkya Rahane of RR plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR plays a shot,Ajinkya Rahane
1730,"Sherfane Rutherfor of DC bowls during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC bowls,Sherfane Rutherfor
1731,"Steve Smith celebrates his fifty during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ celebrates his fifty,Steve Smith
1732,"Steve Smith plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ plays a shot,Steve Smith
1733,"Ajinkya Rahane of RR plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR plays a shot,Ajinkya Rahane
1734,"Steve Smith plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ plays a shot,Steve Smith
1735,"Steve Smith plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ plays a shot,Steve Smith
1736,"Steve Smith plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ plays a shot,Steve Smith
1737,"Steve Smith plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ plays a shot,Steve Smith
1738,"strategic time out during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ time out,strategic
1739,"Steve Smith plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ plays a shot,Steve Smith
1740,"Steve Smith and Ajinkya Rahane of RR during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ and Ajinkya Rahane of RR,Steve Smith
1741,"Ajinkya Rahane of RR celebrates his fifty during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of RR celebrates his fifty,Ajinkya Rahane
1742,"Ajinkya Rahane of RR celebrates his fifty during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",Identify the batsman pumping his fists.,Ajinkya Rahane
1743,"Amit Mishra of Delhi bowling during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of Delhi bowling,Amit Mishra
1744,"Ajinkya Rahane of RR plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR plays a shot,Ajinkya Rahane
1745,"Ajinkya Rahane of RR plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR plays a shot,Ajinkya Rahane
1746,"Ajinkya Rahane of RR bats during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of RR bats,Ajinkya Rahane
1747,"Steve Smith plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ plays a shot,Steve Smith
1748,"Ajinkya Rahane of RR plays a shot during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RR plays a shot,Ajinkya Rahane
1749,"Ajinkya Rahane of RR during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of RR,Ajinkya Rahane
1750,"Shreyas Iyer of Delhi drink redbull during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of Delhi drink redbull,Shreyas Iyer
1751,"Electronic screen during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ screen,Electronic
1752,"Electronic screen during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ screen,Electronic
1753,"Ranjit Barthakur Chairman of RR during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of RR,Ranjit Barthakur Chairman
1754,"Ranjit Barthakur Chairman of RR during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of RR,Ranjit Barthakur Chairman
1755,"Ranjit Barthakur Chairman of RR during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of RR,Ranjit Barthakur Chairman
1756,"Ranjit Barthakur Chairman of RR during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of RR,Ranjit Barthakur Chairman
1757,"Umpires entering on field during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ entering on field,Umpires
1758,"Ajinkya Rahane of RR and RR sanju samson during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of RR and RR sanju samson,Ajinkya Rahane
1759,"Shreyas Iyer of Delhi drink redbull during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Who is seen enjoying a Red Bull drink?,Shreyas Iyer
1760,"Steve Smith bats during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI","___________ , former , bats",Steve Smith
1761,"Sanju Samson of RR runout by Kagiso Rabada of Delhi during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ of RR runout by Kagiso Rabada of Delhi,Sanju Samson
1762,"Kagiso Rabada of DC celebrates after dismissing Sanju Samson of RR during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC celebrates after dismissing Sanju Samson of RR,Kagiso Rabada
1763,"Sanju Samson of RR run out during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",Who is seen getting run out?,Sanju Samson
1764,"Kagiso Rabada of DC during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of DC,Kagiso Rabada
1765,"Shreyas Iyer captain of DC during match 40 of the IPLSeason 12, 2019 between the RR and the Delhi held at the Sawai Mansingh Stadium in Jaipur on the 22nd April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ captain of DC,Shreyas Iyer
